product_name,variant,impact_joules,impact_kN,vehicle_test,image_url,price_basis,price_aed,price_1_2_m,price_2_10_m,price_10_20_m,price_20p_m,currency,cold_storage,source
iflex height restrictor,"iFlex Height Restrictor post, 2100mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,2529.07,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 2200mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,2568.38,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 2300mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,2603.02,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 2400mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,2647.94,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 2500mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,2686.94,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 2600mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,2725.63,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 2700mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,2764.63,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 2800mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,2805.5,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 2900mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,2844.5,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 3000mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3215.78,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 3100mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3256.66,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 3200mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3295.66,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 3300mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3334.66,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 3400mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3373.34,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 3500mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3407.98,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 3600mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3453.22,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 3700mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3562.42,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 3800mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3601.1,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 3900mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3636.36,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 4000mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3611.09,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 4100mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3719.98,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 4200mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3758.98,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 4300mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3793.92,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 4400mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3838.85,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 4500mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3877.54,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 4600mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3916.54,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 4700mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3955.54,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 4800mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,3996.41,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 4900mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,4035.41,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 5000mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,4406.69,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 5100mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,4447.56,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor post, 5200mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,4486.56,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 1200mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,585.94,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 1300mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,627.12,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 1400mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,669.86,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 1500mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,685.78,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 1600mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,798.72,,,,,AED,False,Green Price List (2023 V4)
iflex height restrictor,"iFlex Height Restrictor Top Rail, 1700mm, Yellow","5,800",,3.6 T @ 7 Km/h,https://webcdn.asafe.com/media/5679/iflexheightrestrictsitu1156x556_03.jpg,per item,843.02,,,,,AED,False,Green Price List (2023 V4)
