Code,Product_Family,Variant,Length_mm,Width_mm,Height_mm,OD_mm,OD_Size_mm,Price_AED,Image_URL,Joule_J,item_id,slug
A-01-05-0195,eFlex Double Rack End Barrier,1100 mm,1100.0,,1100.0,,,2440.46,https://webcdn.asafe.com/media/vbmdojqk/rack-end-guardrail-eflex-double.png?height=278&v=1d6f4c84a9d3f60&width=578,27500.0,4a39f2051586,eflex-double-rack-end-barrier-1100-mm-a-01-05-0195
A-01-05-0196,eFlex Double Rack End Barrier,1200 mm,1200.0,,1200.0,,,2467.61,https://webcdn.asafe.com/media/vbmdojqk/rack-end-guardrail-eflex-double.png?height=278&v=1d6f4c84a9d3f60&width=578,27500.0,630258de98ee,eflex-double-rack-end-barrier-1200-mm-a-01-05-0196
A-01-05-0197,eFlex Double Rack End Barrier,1300 mm,1300.0,,1300.0,,,2491.01,https://webcdn.asafe.com/media/vbmdojqk/rack-end-guardrail-eflex-double.png?height=278&v=1d6f4c84a9d3f60&width=578,27500.0,5c9a74a16137,eflex-double-rack-end-barrier-1300-mm-a-01-05-0197
A-01-05-0198,eFlex Double Rack End Barrier,1400 mm,1400.0,,1400.0,,,2518.46,https://webcdn.asafe.com/media/vbmdojqk/rack-end-guardrail-eflex-double.png?height=278&v=1d6f4c84a9d3f60&width=578,27500.0,1d6215afd85e,eflex-double-rack-end-barrier-1400-mm-a-01-05-0198
A-01-05-0199,eFlex Double Rack End Barrier,1500 mm,1500.0,,1500.0,,,2545.92,https://webcdn.asafe.com/media/vbmdojqk/rack-end-guardrail-eflex-double.png?height=278&v=1d6f4c84a9d3f60&width=578,27500.0,a0b5e665cb6f,eflex-double-rack-end-barrier-1500-mm-a-01-05-0199
A-01-05-0200,eFlex Double Rack End Barrier,1600 mm,1600.0,,1600.0,,,2569.01,https://webcdn.asafe.com/media/vbmdojqk/rack-end-guardrail-eflex-double.png?height=278&v=1d6f4c84a9d3f60&width=578,27500.0,25225f392b2c,eflex-double-rack-end-barrier-1600-mm-a-01-05-0200
A-01-05-0201,eFlex Double Rack End Barrier,1700 mm,1700.0,,1700.0,,,2596.46,https://webcdn.asafe.com/media/vbmdojqk/rack-end-guardrail-eflex-double.png?height=278&v=1d6f4c84a9d3f60&width=578,27500.0,e3235ca369b2,eflex-double-rack-end-barrier-1700-mm-a-01-05-0201
A-01-05-0202,eFlex Double Rack End Barrier,1800 mm,1800.0,,1800.0,,,2619.55,https://webcdn.asafe.com/media/vbmdojqk/rack-end-guardrail-eflex-double.png?height=278&v=1d6f4c84a9d3f60&width=578,27500.0,51a9ebc1e054,eflex-double-rack-end-barrier-1800-mm-a-01-05-0202
A-01-05-0203,eFlex Double Rack End Barrier,1900 mm,1900.0,,1900.0,,,2646.7,https://webcdn.asafe.com/media/vbmdojqk/rack-end-guardrail-eflex-double.png?height=278&v=1d6f4c84a9d3f60&width=578,27500.0,29344dad4a22,eflex-double-rack-end-barrier-1900-mm-a-01-05-0203
A-01-05-0204,eFlex Double Rack End Barrier,2000 mm,2000.0,,2000.0,,,2673.84,https://webcdn.asafe.com/media/vbmdojqk/rack-end-guardrail-eflex-double.png?height=278&v=1d6f4c84a9d3f60&width=578,27500.0,91c5a8cc9050,eflex-double-rack-end-barrier-2000-mm-a-01-05-0204
A-01-05-0205,eFlex Double Rack End Barrier,2100 mm,2100.0,,2100.0,,,2697.55,https://webcdn.asafe.com/media/vbmdojqk/rack-end-guardrail-eflex-double.png?height=278&v=1d6f4c84a9d3f60&width=578,27500.0,c9566c853ef7,eflex-double-rack-end-barrier-2100-mm-a-01-05-0205
A-01-05-0206,eFlex Double Rack End Barrier,2200 mm,2200.0,,2200.0,,,2724.7,https://webcdn.asafe.com/media/vbmdojqk/rack-end-guardrail-eflex-double.png?height=278&v=1d6f4c84a9d3f60&width=578,27500.0,958bfbacbd8f,eflex-double-rack-end-barrier-2200-mm-a-01-05-0206
A-01-05-0207,eFlex Double Rack End Barrier,2300 mm,2300.0,,2300.0,,,2748.1,https://webcdn.asafe.com/media/vbmdojqk/rack-end-guardrail-eflex-double.png?height=278&v=1d6f4c84a9d3f60&width=578,27500.0,0d519e2c261b,eflex-double-rack-end-barrier-2300-mm-a-01-05-0207
A-01-05-0208,eFlex Double Rack End Barrier,2400 mm,2400.0,,2400.0,,,2775.24,https://webcdn.asafe.com/media/vbmdojqk/rack-end-guardrail-eflex-double.png?height=278&v=1d6f4c84a9d3f60&width=578,27500.0,baa56e30c21d,eflex-double-rack-end-barrier-2400-mm-a-01-05-0208
A-01-05-0209,eFlex Double Rack End Barrier,2500 mm,2500.0,,2500.0,,,2802.38,https://webcdn.asafe.com/media/vbmdojqk/rack-end-guardrail-eflex-double.png?height=278&v=1d6f4c84a9d3f60&width=578,27500.0,3299bc80a08c,eflex-double-rack-end-barrier-2500-mm-a-01-05-0209
A-01-05-0210,eFlex Double Rack End Barrier,2600 mm,2600.0,,2600.0,,,2767.44,https://webcdn.asafe.com/media/vbmdojqk/rack-end-guardrail-eflex-double.png?height=278&v=1d6f4c84a9d3f60&width=578,27500.0,b24d10ba6885,eflex-double-rack-end-barrier-2600-mm-a-01-05-0210
A-01-17-0152,ForkGuard Kerb Barrier,365 mm,365.0,,365.0,,,315.74,https://webcdn.asafe.com/media/1058/forkguard_kerb_barrier.png?height=278&v=1d6f4c84a9d3f60&width=578,3000.0,fc853352f072,forkguard-kerb-barrier-365-mm-a-01-17-0152
A-01-17-0153,ForkGuard Kerb Barrier,465 mm,465.0,,465.0,,,350.69,https://webcdn.asafe.com/media/1058/forkguard_kerb_barrier.png?height=278&v=1d6f4c84a9d3f60&width=578,3000.0,6f6524a96cc7,forkguard-kerb-barrier-465-mm-a-01-17-0153
